state,year
Andhra Pradesh,10189
Arunachal Pradesh,145
Assam ,1582
Bihar ,2673
Chhatisgarh,2766
Goa,790
Gujarat,12993
Haryana ,5377
Himachal Pradesh,622
Jammu & Kashmir,927
Jharkhand,3113
Karnataka,9930
Kerala,6072
Madhya Pradesh,7356
Maharashtra,17434
Manipur  ,207
Meghalaya,176
Mizoram,93
Nagaland,273
Orissa,3338
Punjab,5274
Rajasthan,7986
Sikkim,39
Tamil Nadu ,15638
Tripura,188
Uttarakhand,997
Uttar Pradesh,13287
West Bengal,3261
TOTAL STATES,132725
A. & N. Islands,69
Chandigarh,1008
D. & N. Haveli ,76
Daman & Diu,78
Delhi,7228
Lakshadweep,9
Puducherry,673
TOTAL UTs,9140
